 Variables , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q 
                 Insurance ,44.1,44.1,44.2,44.4,52.9,53,53.1,53.1,49.4,49.6,49.5,49.7,46.5,46.6,46.6,46.7,40,40.1,40.1,40.1,49.2,49.4,49.3,49.5,63.2,67,69.8,73.4,99.7,104.3,109.3,109.7,122.4,126.4,127,128,185,246,259,249.8,188.5,291.5,183.3,268.7,136.4,191.5,267.4,212.4,171.5,162.9,175,139.5,116.2,187.1,188,213.8,107.3,248.3,268.8,340.2,186.1,412.9,308.4,391,305.4,351.1,336.9,528.5,509.9,545.4,686.4,601.3,584.7,707.8,555.7,556.4,645.8,642.9,446.3,581.1,597.8,697.9,574.7,598.3,663,584.5,582,683.2,742.8,793,663.8,642.9,907.5,921,971.1,"1,033","1,222.10","1,346","1,190.60","1,063.10","1,306.90","1,205.50","1,259.70","1,088.10","1,280.30","1,143.30","1,112.50","1,001.30","1,379.60","1,253.50","1,182.50","1,310.20","1,593.20","1,652.30","1,567.90","1,496.70","2,093.60","2,092.10","2,060.60","2,130.40","2,127.30","2,272.60","2,217.30","2,207.30"
                 Government Goods And Services ,51.1,49.4,49.3,49.4,47.5,47.5,47.4,47.5,48.2,48.3,48.2,48.2,43.2,43.2,43.2,43.3,41.7,41.7,41.7,41.7,40.3,40.5,40.4,40.5,39.9,40.3,39.9,39.9,40.3,40.3,40.2,40.3,40,40,40,39.9,35.3,35.4,35.5,35.6,38.6,38.6,38.6,38.4,41.7,41.7,41.9,41.6,44.9,45,45,47.1,49.3,49.2,49.3,49,53.1,53.1,53.2,53.3,57.1,57.2,57.2,57,61.7,61.7,61.8,61.5,66.6,66.5,66.7,66.4,71.1,71.2,71.2,71,76.7,76.7,76.7,76.5,80.3,80.3,80.4,80.5,82,82.4,82.8,83.4,88.6,89.4,90.1,91.7,87.1,84.5,84.5,85.2,87.5,87.6,88,87.7,79,87.8,87.8,91.6,88.3,89.6,88.4,94.5,94.4,101.6,90.1,96.8,95,93.5,97.1,92.4,95.1,97.2,97.9,98.7,95.9,97.3,97.6,98.3
                 Construction , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,89.6,97.2,106,116.6,96.3,99.8,106,112.9,81.7,88.3,100,106.7,80.6,81.9,84.6,83,72,67.4,69.5,71.5,54.7,55.3,60.6,61.2,88.6,85.1,88.7,83.8,146.7,130,134.4,132.1,183.4,176.3,191.5,191.4,289.4,257.9,271.4,275.1,233.7,209.7,221.7,236.2,222.6,198.6,224.4,235.9,279.3,257.9,287.2,312.7,340.1,355.2,404.7,432.2,366.5,362.4,388.1,427.6,342.6,347.4,353.1,363.4,459.7,459.3,497.1,524.9,485.7,488.9,509.5,522.5,536.4,535.4,562.1,586,392,380,392.8,395.1,321.2,321,328.6,336.6,331.2,329.7,321.3,327.3
                 Financial , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"1,134.80","1,179.10","1,205.60","1,267.30","1,227.90","1,265.40","1,221","1,336.90","1,452.90","1,599.80","1,610.10","1,609.60","1,182.10","1,177.80","1,171.30","1,077.10","1,002.20","1,070.50","1,091.80","1,084",872.3,784.4,767.3,757.2,968.9,960.7,915.2,"1,062","1,093.80","1,112.40","1,208.90","1,121","1,370.80","1,350.20","1,593.20","1,367.30","1,454","1,631.40","1,565.80","1,695.90","1,524","1,777.60","2,161.70","2,199.40","2,419.40","2,596.80","2,541.10","3,155.80","3,305.60","3,820.70","4,151.60","4,545.80","4,254.20","4,233.40","4,063.30","3,168.70","3,460.70","3,775.50","3,880.50","4,497.50","3,985","4,005.20","3,938.90","4,724.10","4,881.90","4,930.40","4,921.70","4,821.50","4,827.50","5,119.60","4,935.50","5,812.40","5,370.70","5,818","5,500.90","6,924.40","6,013.20","5,957.70","6,485.40","8,321","6,903.90","7,064.40","7,042.40","7,944","6,225.10","6,195.30","6,342.80","7,309.20"
"                 Telecommunications, Computer & Information ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,258,274.8,286.5,289.4,280.2,290.7,304.5,309.5,268.4,293,311.4,312.1,283.8,293.8,281.9,272.1,225.1,241.1,243.3,245,227.4,250.5,257.2,260.7,312,323.7,324.7,337,334.3,344.5,347.8,339,351.5,344,355.6,372.7,409.4,428.5,470.6,470.3,420.8,436.4,441.4,443.7,588,604.9,627.9,658.8,658.7,693.3,722.2,755.9,858.9,905.7,951.9,959.2,902.1,918.2,967.7,"1,016.10","1,173.30","1,200.10","1,216.50","1,241.30","1,188.80","1,198.20","1,237.30","1,267.30","1,294.70","1,312.70","1,312.70","1,352","1,465.40","1,507.60","1,529.10","1,614.60","1,577.60","1,614.70","1,681.20","1,725.20","2,171.60","2,219.10","2,200.70","2,240.40","2,220.70","2,228.50","2,207.10","2,262.10"
                 Charges For The Use Of Intellectual Property , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,14,15.5,17,17,17.7,18.2,18.2,18.6,14.3,16,16.9,17.1,19.2,20.3,20.5,21.1,20.6,21.9,23.5,23.3,23.9,25.6,27.9,28.5,33.2,31.5,30.4,31.2,30.9,34.8,34.2,33.5,39.7,39,42.5,44.8,119.1,127.3,128.2,138.9,187.8,205.8,222.6,242.8,194.9,201.7,214.7,230.5,244.6,255.5,283.1,268.5,302.3,265.7,277.6,263.9,265.5,304.4,343.8,311.5,304.9,370.2,327.4,327.8,529.1,519,519.6,522.2,579.2,597.9,566.8,576.5,913.7,"1,015","1,004.60","1,041.10","1,176.40","1,209","1,200.30","1,208.60","1,762.60","1,812","1,772.20","1,774.80","1,755.70","1,840","1,803.70","1,978.30"
"                 Personal, Cultural And Recreational ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,6.3,6.2,6.4,6.4,3.1,3,3.2,3.1,3.3,3.2,3.3,3.2,4,3.9,4,3.9,7.7,7.5,7.6,7.8,7.9,7.8,8.1,8.2,15.2,14.9,15.4,15.5,55.5,56,57.2,57.8,68.2,63.8,67.5,69.1,78.2,76.7,78.9,79.1,73.3,73.6,76.1,76.7,80.2,80.4,81.2,81.2,88.1,88.8,90.3,90.5,152,154.5,155.8,156.8,157.5,158.8,163.9,164.9,160.2,175.2,176.3,177.5,163.2,161.5,164.1,162.7,171,165.7,164.2,166.9,173.8,174,176.9,174.1,178.1,179.1,175.9,179.8,154.6,154.9,155.5,154,158.1,158.8,161.2,160.1
                 Other Business Services ,892,"1,364","1,314.90","1,365","1,195.50","1,613.10","1,424.20","1,749.70","1,701.90","2,095.50","2,047.50","2,045.20","2,222.60","2,538.30","2,669.90","2,952.50","2,818.80","3,328.60","3,311.80","3,631.10","3,226","3,512.60","3,303.30","3,780.30","3,214.80","3,515.80","3,818.40","4,164.90","3,600.30","4,082.10","4,303.30","4,548.10","4,150.40","5,148.70","5,635.80","5,464.10","1,185.40","1,256.80","1,317.20","1,339","1,422.80","1,473.10","1,480.10","1,517.60","1,455.60","1,538.60","1,599.50","1,624.50","1,454.40","1,490.60","1,485.50","1,478.20","1,456.80","1,519.40","1,553.10","1,573.90","1,953.20","2,006.10","2,075.10","2,090.80","2,142.30","2,169.60","2,166.60","2,148.30","2,217.90","2,339.90","2,360.40","2,349.20","2,572.40","2,563.50","2,705.60","2,748.30","3,483.40","3,577.60","3,614.70","3,705.50","3,643.60","3,792.10","3,933.10","4,019","5,270.50","5,438.20","5,683.90","5,865.60","5,635.30","5,850.80","6,071.30","6,118.60","6,605.10","6,549.60","6,652.70","6,463","6,159.30","6,352.80","6,673.10","6,730.30","6,468.90","6,749.50","6,648.70","6,779.90","7,290.50","7,463.50","7,666.30","7,755.90","8,527.50","8,807.10","8,683.90","8,892.40","9,696.70","10,125.10","10,124.70","10,256.30","11,479.10","11,737.90","11,726.20","12,041","12,632.70","12,747.40","12,808","12,997.80","12,677.80","12,817.40","12,696.30","13,106.80"
             Imports Of Services ,"1,902.10","2,045.70","2,090.50","2,221.90","2,206.20","2,447.70","2,485.80","2,597.50","2,728.70","2,908.30","2,974.70","3,120.90","3,113.40","3,417.40","3,330.60","3,570.50","3,905.60","3,877.90","3,903.80","4,067.50","3,983.20","3,903.40","4,017.20","3,960.20","3,391.30","3,744.90","4,015","4,478.20","4,227.70","4,633.80","4,697.10","4,851.40","4,830.60","5,341.70","5,392","5,797.80","7,120.90","7,591.10","7,744.40","8,437.70","7,692","8,109.70","7,870.40","8,609.20","7,779.50","8,425.30","8,727.50","9,230.50","8,416.70","8,661.70","8,677.60","8,452.50","9,562.10","10,997.60","10,932.20","12,020.10","11,901","12,935.60","13,360.10","14,233.40","14,509.40","14,704.40","14,051.40","14,777.10","14,350","15,298.40","15,305","16,138.70","17,063.20","16,362.40","18,177.40","19,913","20,138.70","21,294.10","21,423.60","22,721.50","21,646.30","23,148.80","23,451.80","25,232.80","25,025.50","26,043.40","26,670.10","27,754.50","27,105.20","28,361.50","29,194.50","30,604.20","32,522.90","32,372.70","32,431.40","31,683","28,116","29,681.60","31,670.60","32,907.90","33,019.20","35,418.10","34,256.80","35,309.40","36,358","37,144.70","37,168.40","38,081.30","39,839.50","41,158.90","40,529","42,040.10","43,735.70","46,139.90","46,066.30","48,077.60","49,523.30","50,858.40","49,936.10","51,676.40","52,297.10","53,369.40","52,941.30","53,809.40","52,287.20","53,823.60","53,056.40","55,774.70"
                 Maintenance And Repair Services , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,49.9,56.4,60.2,57,54.7,60.9,66.7,65,45.2,52.4,57.8,56.3,43.5,37.6,58.7,49.9,37.8,43.9,47,44.3,41.1,42.7,46.9,40.5,48.9,48,52.5,46.3,53.6,54.4,62.2,52,52.7,56.4,64,52.1,58.3,59.5,66.6,53.5,72.3,76.7,92.4,73,113.3,114.1,130.4,113.6,130.7,130.9,153.8,131,179.3,181.1,207.3,189.3,242.2,236.1,276.6,236.1,210.2,202.4,248.9,212.6,213.4,213.1,241.5,204.3,203.3,205.6,231.8,196.3,207.1,206.4,233.5,198.2,215.3,215.7,243.9,205.8,233,231.1,258.1,215.3,223.3,224.7,255.9,214.6
                 Transport ,870.8,921.6,953.9,"1,007.50",880.2,993.8,"1,065.40","1,107.30","1,116.80","1,226.50","1,326.20","1,343.10","1,218.40","1,421.50","1,409.90","1,472.20","1,542","1,552.40","1,572.60","1,700.60","1,661.20","1,609","1,692.20","1,592.50","1,286.20","1,406","1,476.10","1,667.10","1,470.80","1,627.90","1,702.10","1,686","1,674.60","1,835.40","1,882.30","1,935.40","2,939.60","3,279.50","3,349.80","3,594.90","3,441.10","3,498.30","3,401.20","3,745.60","3,484.80","3,795.80","3,869.20","4,086.50","3,873.90","4,005.30","4,106.10","3,760.80","3,910.60","4,907.90","4,532.50","5,095.50","4,983.50","5,422","5,535.20","5,859.90","5,629.20","5,583.40","5,212.90","5,489.20","4,550.10","4,770.10","4,833.20","5,109.80","5,582","5,464.40","5,965.70","6,499.30","7,070.70","7,509.10","7,710.50","8,106.50","7,861.60","8,431.60","8,608","9,291.20","8,954.50","9,231.90","9,543.70","9,524.10","9,807.70","10,100.40","10,329.80","10,961.50","10,561.60","10,760.10","10,838.30","10,073.50","8,457.80","8,580","9,096.60","9,920.70","9,806.70","10,130","10,129.40","10,529","10,101.10","10,593.30","10,525.40","10,770.40","10,822.50","11,147.40","11,294.90","11,553.10","11,377","11,912","12,131.30","12,470.80","14,375.10","14,829","14,803","15,218.10","16,534.60","16,822.70","16,693.40","16,762.30","16,261.40","16,889","16,585.60","17,503.70"
                 Travel ,293,370.2,337,404.1,352.4,453.9,393.3,474.4,414.5,505.2,415.4,536.6,603.2,676.9,590.8,729.9,822.8,820.2,786.7,832.3,798.2,775.2,767.5,843.4,786.4,935.4,"1,089.40","1,283.50","1,094.10","1,308.40","1,248","1,430.90","1,246.70","1,462.10","1,411.10","1,788.10","1,436.60","1,685.30","1,528.60","1,954.70","1,556.20","1,769","1,722.10","2,022.90","1,483.80","1,562.30","1,582.70","1,852.20","1,286.80","1,415.40","1,250.40","1,430.80","1,471.20","1,702.70","1,773.70","2,192.70","1,880.60","2,152.80","2,065.40","2,414.90","2,794.50","3,022.20","2,899.10","3,127.40","3,482.90","3,647.40","3,576.40","3,985","3,530.60","3,070.40","3,753","4,240.50","3,685","4,012.50","3,773","4,233.70","3,984.10","4,283.20","4,038","4,455.70","4,165.20","4,519.50","4,359.20","4,860.10","4,542.30","5,142.30","4,957.40","5,708.90","5,489.90","5,897.40","5,514.20","6,217.60","5,190.50","5,617.40","5,623.90","6,409.10","5,954","6,424.60","6,195.80","6,922.90","6,279.40","6,871.40","6,602.70","7,294.90","6,768.10","7,242.70","7,036.60","7,878.90","7,348.40","7,631.70","7,524.20","8,160.60","7,753.60","7,949.50","7,263.40","7,898.70","7,272.10","7,690","7,343.30","8,054.70","7,391.90","7,798.30","7,609.70","7,735.40"
                 Insurance ,107.7,113.2,115.3,124.2,178.5,206.6,223.3,237.8,245.4,269.1,297.3,308.4,269.5,322.4,309.2,329.6,341.1,344.9,358,367.9,353.9,359.6,373.4,350.2,193.2,210.3,223.1,242.8,230.5,256.6,268.1,266.8,265.8,292.4,300,319.4,502.9,615.7,637.1,628.7,547.3,623.7,560,618.2,475.8,562.8,654.6,642.3,543.1,497.2,526.6,494.6,429.1,522.4,567.1,640,527.9,668.4,761.5,869.6,609.9,806.2,682.5,736.7,604.4,709.1,700,884.9,707.2,711.2,832.6,835.7,715.5,855.1,771.9,727.4,812.9,924.5,747.9,903.3,847.9,944.7,885.3,926.2,890.2,877.1,878.8,928,991.1,"1,044.10",971.2,898.7,836.9,953.3,"1,065.70","1,219.60","1,439.10","1,485.70","1,383.10","1,202.30","1,548.90","1,408.10","1,423.90","1,319","1,642","1,533.30","1,478.30","1,339.20","1,520.30","1,577.50","1,451.90","1,467.10","1,254.60","1,566.90","1,247","1,223.40","1,852.60","1,891.70","1,999.30","1,747.90","2,077.50","1,983.10","2,058.70","2,072.70"
                 Government Goods And Services ,27.9,20.6,20,20.1,27.4,20,22.2,23.9,43.5,21,37.3,26.4,32.2,18.8,22.3,27.7,34.1,26.1,29.1,29.6,39.5,25.9,28.1,28.6,45,33.7,51.2,42,55.6,33.6,42,35.9,43.3,28.7,38.7,38.6,45.2,19.8,27.3,32.1,48.5,20.7,29,33.3,62.8,22.9,32.7,36.4,55.4,24.2,30.9,38.1,62.4,29.3,39.2,42.2,65.8,27.3,34.7,42.2,61.9,32.7,41.5,46.3,65.8,28.4,42.1,66.2,74,30.7,53,55.3,103,59.4,49.1,70.2,107,52.3,74.5,64.1,90.6,92.6,61.1,65.4,85.6,62.4,67.2,65.1,121,62.8,61.8,73.5,113.4,48.9,95.6,62.1,88.5,41.5,56.7,74.6,96.2,49.3,50.7,64.6,81.8,43.9,60.7,70.4,96.6,53.1,63.5,73.8,115.9,54.6,57.1,67.5,101.7,47.9,56.6,69.7,105.9,73.7,62.1,68.1
                 Construction , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,36.7,39.9,43.3,47.8,51.1,53,56.3,59.9,49.3,53.5,60.4,64.4,79.8,81,83.8,82.2,80.5,75.3,77.7,80,50.4,51.1,56,56.6,79.2,76.1,79.3,74.7,63.9,56.7,58.5,57.7,60.9,58.4,63.6,63.7,145.1,129.5,136.3,137.9,87.8,78.8,83.3,88.7,75.2,67.1,75.9,79.7,94.6,87.3,97.3,105.9,110,114.8,130.9,139.9,146.7,145.2,155.3,171,170.9,173.4,176.2,181.5,223.6,223.4,241.8,255.2,228.4,230,239.7,245.9,235,234.5,246.3,256.6,174,168.7,174.4,175.6,164,163.9,167.8,171.8,169.1,168.3,164.1,167
                 Financial , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,214.7,201.8,250.2,213.4,207.9,262.2,203.4,190.3,200.4,219.6,235.2,228.9,135.1,147.2,156.3,146.5,177.8,196.1,199.9,213.1,267.7,262,258,251,236.8,212.3,222.9,310.1,249.8,262,282.1,265.9,295.3,304.3,331.9,325.1,333.4,343,334,364.4,342.3,373.5,391.9,416.8,554.4,576.3,564.7,590.5,761.8,840.6,854.7,"1,008.30",957.6,924.6,910.6,773.3,676,696.4,802.5,803.8,907.5,833,890.9,862.4,991.3,981.8,"1,023.10",918.9,964.3,994.4,990.9,"1,121.30","1,042.10","1,128","1,102.20","1,403.40","1,402.90","1,220.90","1,335.20","1,590.90","1,538.40","1,413.30","1,521.80","1,583.90","1,582.20","1,489","1,492.40","1,694.50"
"                 Telecommunications, Computer & Information ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,225,240.1,251,252.3,223.4,231,245.7,249.5,252.1,278.1,297.1,297,309.4,321,305.1,292.4,285.2,308,310.9,312.8,314.9,357,366.7,373.4,373.3,389,390.5,417.6,376.4,383.5,389.2,370.2,402.8,387.4,399.9,430.7,349.7,375.2,446.2,442.1,459.3,476.7,479.4,480.6,582.4,595.5,617.1,654.1,646,678.8,711.1,751,779.2,831.8,883.2,891.5,817.7,834.4,886.4,937.7,"1,167.50","1,197.80","1,218.80","1,239.50","1,464.50","1,476.50","1,525.30","1,561.90","1,675.60","1,700.30","1,699.70","1,749.20","2,139.80","2,202.20","2,222.50","2,314.50","2,641.40","2,696","2,759.10","2,844.50","2,837.20","2,881.60","2,869.30","2,926","2,886.50","2,890","2,861.90","2,932.10"
                 Charges For The Use Of Intellectual Property , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,524.6,579.7,637.4,633.5,685.9,702.7,703.4,719.3,627.5,706.1,743.2,752.8,741.8,783,791.1,813,"1,673.70","1,786.20","1,912","1,897.40","1,962.20","2,103.80","2,287.30","2,336.10","2,268","2,152.20","2,077.60","2,137.60","1,981.60","2,234","2,195.80","2,150","2,761.90","2,712.20","2,952","3,108.10","3,093.30","3,307.90","3,331.30","3,609.20","3,390","3,714.80","4,017.60","4,384.40","3,529.20","3,652.10","3,888.40","4,174.80","3,374.70","3,524.90","3,905.70","3,703.40","5,198.30","4,568.30","4,772.40","4,537.20","4,168.70","4,780.40","5,399.20","4,890.70","5,191.40","6,303.30","5,573.30","5,579.60","6,248","6,129.50","6,135.20","6,166.10","6,875.70","7,099","6,728.80","6,846.40","6,491.60","7,212.50","7,138","7,395.10","6,388.10","6,564.70","6,518.10","6,563","6,362.40","6,540","6,397.40","6,406.60","6,337.30","6,641.10","6,511.30","7,141.20"
"                 Personal, Cultural And Recreational ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,16.3,16,16.7,16.7,12.1,11.9,12.4,12.3,15.2,15,15.2,15.2,14.7,14.3,14.5,14.2,21.7,21,21.5,21.7,34.7,34.5,35.5,36.2,76.1,74.5,77.1,77.8,116.4,117.5,119.9,121.3,106.6,99.7,105.5,108,113.2,111,114.2,114.6,113.4,113.9,117.8,118.6,102.9,103.1,104.3,104.3,105.9,106.8,108.6,108.9,140.6,142.9,144.1,145,163.6,164.9,170.3,171.3,149.6,163.6,164.6,165.8,154.5,152.8,155.3,154,152.4,147.6,146.3,148.9,141.5,141.6,144.1,141.4,159.7,160.7,157.7,161.3,155.9,156.3,156.7,155.2,159.7,160.4,162.4,161.1
                 Other Business Services ,602.7,620.1,664.3,666,767.7,773.4,781.6,754.1,908.5,886.5,898.5,906.4,990.1,977.8,998.4,"1,011.10","1,165.60","1,134.30","1,157.40","1,137.10","1,130.40","1,133.70","1,156","1,145.50","1,080.50","1,159.50","1,175.20","1,242.80","1,376.70","1,407.30","1,436.90","1,431.80","1,600.20","1,723.10","1,759.90","1,716.30","1,129.40",856.9,942.8,"1,006.60",863.8,876.3,870.2,892.9,"1,082.60","1,156.80","1,179.40","1,198.50","1,333.20","1,335.50","1,354.10","1,330","1,412.10","1,404.80","1,450.70","1,480.40","1,772.20","1,814","1,912.90","1,953","2,331.60","2,307.80","2,315.50","2,313.40","2,805.10","3,035.30","3,045.60","3,075.70","3,489.20","3,467.30","3,656.20","4,194.50","4,471.50","4,531.90","4,690.50","4,862","4,415.60","4,622.80","4,801","4,956.40","6,009.90","6,146.50","6,440","6,661.70","6,665.70","6,810","7,130.10","7,132.20","7,994.30","7,844.80","7,997.40","7,743.50","7,302.50","7,624.60","8,098.50","8,085.80","7,933.80","8,462.80","8,219.10","8,339.20","9,037.10","9,045.50","9,243.50","9,372","10,425.40","10,814.70","10,621.30","10,890.50","13,136.30","13,840.40","13,808.80","14,196.10","15,042.70","15,431.70","15,377.20","15,727.60","15,245.20","15,530.90","15,477.60","15,716","15,092.40","15,506","15,292.30","16,084.30"
         Primary Income Balance ,58.8,9.9,12.4,-67.8,-224.5,-309.3,-309,-349.7,-196.9,-190.8,-123.1,-217.5,-75.9,-301,79.1,-75,-723.5,35.9,-51.3,30.2,-965.9,-303.4,-38,120.8,921.6,623.5,62.4,"-1,556.80",-176.7,-800.8,-814.1,-275.9,-63.3,-64.5,152.5,121.5,714.3,468.5,-217.4,-65.3,-285.7,-286.6,98.2,-501.3,618.5,843.2,588.2,862.9,570.2,752.8,490.8,302.6,424.5,446.8,294.6,490.7,-34.7,304.4,-223.1,"-1,059.20",-670.2,607.4,-758.3,-853.6,-806.8,-721.7,"-1,460.80","-1,619",-931.1,-778.8,"-1,795.50","-2,353.70","-3,426.70","-2,963.80","-3,286.20","-3,914.60","-3,102.80","-2,873.30","-3,441.40","-4,605.60","-2,096.70","-1,330.80","-2,066.40","-2,845",-657.3,"-1,641.60","-3,244.50","-3,013.20","-4,454","-2,529.90","-3,502.80","-1,780.90",-63.4,"-2,858.80","-4,876.20","-5,170.60","1,077.90","-1,128.40",-709.9,"-1,074.10","-2,415.70","-1,049.50","-1,933.80","-3,856.10","-2,929.60","-3,032.50","-3,481.90","-3,846.30","-3,447.40","-2,112","-2,702.70","-4,216.30","-2,691","-2,963.20","-1,772.40","-2,597.80","-5,900.70","-5,385.90","-2,231.60","-4,637.70","-3,966.50","-2,875.70","-2,535.70","-3,741.30"
             Primary Income Receipts ,"1,054","1,042.30","1,019.50",977.8,"1,323","1,228","1,232.60","1,230.30","1,594.20","1,592","1,658.20","1,599.90","1,981.60","1,893","1,994","1,640.10","2,318","2,234.90","2,443.40","2,444.40","2,843.60","2,888","2,631.80","2,357.50","2,792.80","2,486.40","2,871","2,921.60","2,542","2,755.70","2,602.30","2,918.90","2,912","3,082.30","3,460.10","3,400.60","4,127.30","4,116.10","3,706","3,866.60","3,449.60","3,537.80","3,982.30","3,496.70","3,700.20","4,225.60","4,135.30","4,456.20","4,385.50","4,679.50","4,474.10","4,384.90","6,155.90","6,472.70","6,604.80","6,850","6,418.20","7,031","6,844.20","6,133.60","6,269.80","7,411.30","5,849","5,866.10","6,283","6,774.80","6,031.70","5,864.60","7,571.60","7,708.80","7,279.10","7,145.90","8,454.90","9,344.80","9,154","9,106.20","11,457.90","12,450.60","12,549.10","12,147.60","15,363.70","16,590.40","16,569.50","16,583.90","20,899.80","22,972.40","22,492.90","21,610.70","17,476.80","17,112.70","16,198","17,048.50","19,908","18,368.30","17,604","17,137.70","21,766.70","21,449.20","21,077.30","21,090.10","19,568.80","21,357.60","20,851.10","19,027.40","19,700.20","20,320.50","19,333.70","19,777.60","19,157.10","21,652","21,016.60","20,331.30","20,412.50","21,225.50","21,964.10","21,750.80","19,620.60","21,056.70","23,906.50","21,926.90","20,990.30","22,634.40","23,992.80","22,869.30"
             Primary Income Payments ,995.2,"1,032.40","1,007.10","1,045.60","1,547.50","1,537.30","1,541.60","1,580","1,791.10","1,782.80","1,781.30","1,817.40","2,057.50","2,194","1,914.90","1,715.10","3,041.50","2,199","2,494.70","2,414.20","3,809.50","3,191.40","2,669.80","2,236.70","1,871.20","1,862.90","2,808.60","4,478.40","2,718.70","3,556.50","3,416.40","3,194.80","2,975.30","3,146.80","3,307.60","3,279.10","3,413","3,647.60","3,923.40","3,931.90","3,735.30","3,824.40","3,884.10","3,998","3,081.70","3,382.40","3,547.10","3,593.30","3,815.30","3,926.70","3,983.30","4,082.30","5,731.40","6,025.90","6,310.20","6,359.30","6,452.90","6,726.60","7,067.30","7,192.80","6,940","6,803.90","6,607.30","6,719.70","7,089.80","7,496.50","7,492.50","7,483.60","8,502.70","8,487.60","9,074.60","9,499.60","11,881.60","12,308.60","12,440.20","13,020.80","14,560.70","15,323.90","15,990.50","16,753.20","17,460.40","17,921.20","18,635.90","19,428.90","21,557.10","24,614","25,737.40","24,623.90","21,930.80","19,642.60","19,700.80","18,829.40","19,971.40","21,227.10","22,480.20","22,308.30","20,688.80","22,577.60","21,787.20","22,164.20","21,984.50","22,407.10","22,784.90","22,883.50","22,629.80","23,353","22,815.60","23,623.90","22,604.50","23,764","23,719.30","24,547.60","23,103.50","24,188.70","23,736.50","24,348.60","25,521.30","26,442.60","26,138.10","26,564.60","24,956.80","25,510.10","26,528.50","26,610.60"
